"objid","gefaess_id","bemerkung","gefaesstyp","auspraegung_1","auspraegung_2","auspraegung_3","auspraegung_4","auspraegung_5","dimension","ort","region","saison","gefaesstyp_txt","auspraegung_1_txt","auspraegung_2_txt","auspraegung_3_txt","auspraegung_4_txt","auspraegung_5_txt","region_txt","saison_txt","dimension_txt","geometry"
"1270","1415","","5","8","12","1","1","1","4","Haltestelle Rentenanstalt","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682795.8 1246418.6)"
"1271","1416","","5","12","1","1","1","1","4","St. Peter-Hofstatt","1","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683241 1247335.1)"
"1272","1417","","5","12","1","1","1","1","4","Rathausbrücke","1","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683362.8 1247338.1)"
"1273","1418","","5","12","1","1","1","1","4","Weinplatz","1","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683340.2 1247329.8)"
"1274","1419","","5","12","1","1","1","1","4","Pelikanplatz","1","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682900 1247322)"
"1275","1463","","5","8","12","1","1","1","4","Bahnhofstrasse 17","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683142 1247057.4)"
"1276","1467","","5","8","12","1","1","1","4","Kappelergasse / Fraumünsterstrasse","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683246.2 1247039.2)"
"1277","1468","","5","12","1","1","1","1","4","Brücke Bleicherweg","1","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682999.8 1247017.2)"
"1278","1469","","5","12","9","1","1","1","4","Kappelerhof","1","0","Abfallhai","Sackrollenhalter","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683213.5 1246990.6)"
"1279","1471","","5","12","1","1","1","1","4","Stadthausquai / Badeanstalt","1","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683333 1246985.9)"
"1280","1472","","2","3","1","1","1","1","0","Schanzengrabenpromenade","1","0","Bravo","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","unbekannt","POINT (2682834.2 1247078.5)"
"1281","1473","","5","8","12","1","1","1","4","Bahnhofstrasse 10","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683187 1246950.1)"
"1282","1474","","5","8","12","1","1","1","4","Bahnhofstrasse 9","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683172.8 1246942)"
"1283","1475","","5","8","12","1","1","1","4","Schanzengrabenpromenade / Dreikönigbrücke","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683071.2 1246898.2)"
"1284","1476","","5","8","12","1","1","1","4","Stadthausanlage / Bahnhofstrasse","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683211.8 1246878)"
"1285","1477","","5","12","1","1","1","1","4","Stadthausanlage / Fraumünsterstrasse","1","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683276.5 1246870.5)"
"1286","1478","","5","12","1","1","1","1","4","Stadthausanlage / Bahnhofstrasse","1","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683222.5 1246845.6)"
"1287","1480","","5","8","12","1","1","1","4","Bahnhofstrasse / Talstrasse","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683214.5 1246799.9)"
"1288","1481","","5","12","1","1","1","1","4","Stadthausanlage / Fraumünsterstrasse","1","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683290.8 1246808.2)"
"1289","1482","","5","12","1","1","1","1","4","Stadthausquai / Quaibrücke","1","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683330.5 1246803.6)"
"1290","1483","Bushaltestelle","5","8","12","1","1","1","4","Bahnhofstrasse","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683228.2 1246804.8)"
"1291","1484","","5","12","1","1","1","1","4","Stadthausanlage / Bahnhofstrasse","1","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683234.8 1246800.5)"
"1292","1485","","5","8","12","1","1","1","4","Bahnhofstrasse / Bürkliplatz","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683236 1246780.6)"
"1293","1486","","5","12","8","1","1","1","4","Bürkliplatz","1","0","Abfallhai","Sackrollenhalter","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683296.8 1246776.9)"
"1294","1487","","5","12","8","1","1","1","4","Bürkliplatz","1","0","Abfallhai","Sackrollenhalter","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683285.5 1246761.8)"
"1295","1488","","4","7","1","1","1","1","2","Bürkliplatz / Quaibrücke","1","0","Zuerikuebel","Generation_4","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2683340 1246755.4)"
"1296","1489","","5","8","12","1","1","1","4","Bürkliplatz / Terrasse bei Schifflände","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683296.5 1246743.9)"
"1297","1490","","5","12","8","1","1","1","4","Bürkliplatz / Terrasse bei Schifflände","1","0","Abfallhai","Sackrollenhalter","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683271.5 1246737)"
"1298","1491","","5","8","12","1","1","1","4","Bürkliplatz / Terrasse bei Schifflände","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683307 1246735.2)"
"1299","1492","","5","8","12","1","1","1","4","Bürkliplatz / Terrasse bei Schifflände","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683254.8 1246722)"
"1300","1493","","5","8","12","1","1","1","4","General-Guisan-Quai / Bürkliplatz","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683250 1246735.2)"
"1301","1494","","5","12","8","1","1","1","4","Schiffanlegestelle Bürkliplatz","1","0","Abfallhai","Sackrollenhalter","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683225.2 1246705.6)"
"1302","1495","","5","8","12","1","1","1","4","Schiffanlegestelle Bürkliplatz","1","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683238.8 1246708.6)"
"1303","1611","","4","17","9","3","1","1","2","Döltschiweg","2","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L70","POINT (2680976.8 1246900)"
"1304","1612","","4","17","8","1","1","1","2","Döltschiweg","2","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L70","POINT (2680985.2 1246905.9)"
"1305","1613","","5","12","8","1","1","1","4","VBZ Friesenbergstrasse","2","0","Abfallhai","Sackrollenhalter","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2680562.8 1246253)"
"1306","1614","","5","12","8","1","1","1","4","VBZ Friesenbergstrasse","2","0","Abfallhai","Sackrollenhalter","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2680539.2 1246251.9)"
"1307","1615","","4","17","8","1","1","1","2","Spielplatz Känguruwiese","2","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L70","POINT (2680276.5 1246431.9)"
"1308","1616","","5","8","12","1","1","1","4","VBZ Güterbahnhof","2","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681640 1248297.5)"
"1309","5161","","5","1","1","1","1","1","4","Hardstrasse 319","2","0","Abfallhai","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681787.2 1249438.5)"
"1310","6801","","4","17","9","3","1","1","2","GZ Riesbach","1","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L70","POINT (2684288 1245995.6)"
"1311","6881","","5","12","1","1","1","1","4","Selnaustrasse","1","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2682557 1247347.4)"
"1312","6882","","5","12","1","1","1","1","4","Stadthausanlage / Fraumünsterstrasse","1","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Sued","ganzjaehrig","L150","POINT (2683272.2 1246892.9)"
"1313","1623","","5","12","8","1","1","1","4","Erismannhof","2","0","Abfallhai","Sackrollenhalter","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681602.5 1248184.9)"
"1314","1627","","5","8","12","1","1","1","4","VBZ Bäckeranlage","2","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681928.5 1248155.9)"
"1315","1628","","5","8","12","1","1","1","4","VBZ Bäckeranlage","2","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681874.5 1248064.1)"
"1316","1629","","5","8","12","1","1","1","4","VBZ Bäckeranlage","2","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681888.2 1248063.9)"
"1317","5072","","3","3","1","1","1","1","0","Bäckeranlage","2","0","Dispenser","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","unbekannt","POINT (2681866.8 1248005.9)"
"1318","5073","","5","8","1","1","1","1","4","Bäckeranlage","2","0","Abfallhai","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681870 1247989)"
"1319","5070","","5","8","1","1","1","1","4","Bäckeranlage","2","0","Abfallhai","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2681895.8 1248058.4)"
