"objid","gefaess_id","bemerkung","gefaesstyp","auspraegung_1","auspraegung_2","auspraegung_3","auspraegung_4","auspraegung_5","dimension","ort","region","saison","gefaesstyp_txt","auspraegung_1_txt","auspraegung_2_txt","auspraegung_3_txt","auspraegung_4_txt","auspraegung_5_txt","region_txt","saison_txt","dimension_txt","geometry"
"2508","2859","","4","17","9","3","1","1","2","Badenerstrasse 624","2","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L70","POINT (2679442.5 1248996.5)"
"2509","2860","","4","17","9","3","1","1","2","Badenerstrasse 624","2","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L70","POINT (2679495.8 1248957.8)"
"2510","2861","","4","17","8","3","1","1","2","Badenerstrasse 624","2","0","Zuerikuebel","andere","Ascher","Block","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L70","POINT (2679563.2 1248918)"
"2511","2862","","5","8","12","1","1","1","4","VBZ Kappeli","2","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2679755.2 1248800.5)"
"2512","2863","","5","12","1","1","1","1","4","VBZ Kappeli","2","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2679766.8 1248794.8)"
"2513","2864","","5","8","12","1","1","1","4","VBZ Kappeli","2","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2679752.2 1248793.2)"
"2514","2865","","5","12","1","1","1","1","4","VBZ Kappeli","2","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2679763.8 1248787.5)"
"2515","2867","","4","17","9","3","1","1","2","Luggwegstrasse","2","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L70","POINT (2679343.2 1248805.5)"
"2516","2868","","4","17","9","3","1","1","2","Luggwegstrasse","2","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L70","POINT (2679321.2 1248735.4)"
"2517","2870","","4","17","9","1","1","1","2","Saumackerstrasse 80","2","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L70","POINT (2679206.8 1248772.8)"
"2518","2872","","4","17","8","1","1","1","2","Saumackerstrasse 85","2","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L70","POINT (2679232.8 1248700.6)"
"2519","2873","","4","17","9","1","1","1","2","Rautistrasse 98","2","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L70","POINT (2679166 1248504.6)"
"2520","2874","","5","8","12","1","1","1","4","VBZ Kappeli","2","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2679720.5 1248679.4)"
"2521","2875","","5","8","1","1","1","1","4","VBZ Kappeli","2","0","Abfallhai","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2679751.8 1248690.5)"
"2522","5681","","5","8","1","1","1","1","4","Hardaupark","2","0","Abfallhai","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2680870.8 1248172.1)"
"2523","2878","","2","3","1","1","1","1","0","Saumackerstrasse 118","2","0","Bravo","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","unbekannt","POINT (2679094 1248533.8)"
"2524","3013","","5","9","12","1","1","1","4","Wehntalerstrasse 12","0","0","Abfallhai","Dispenser_Dog","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2683146.2 1250256.8)"
"2525","5682","","5","8","1","1","1","1","4","Hardaupark","2","0","Abfallhai","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2680865 1248162.4)"
"2526","3015","","5","8","9","12","1","1","4","VBZ Milchbuck","0","0","Abfallhai","Ascher","Dispenser_Dog","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2683299.2 1250239.5)"
"2527","3016","","5","8","12","1","1","1","4","VBZ Milchbuck","0","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2683300.5 1250260.8)"
"2528","3017","","5","8","12","1","1","1","4","VBZ Milchbuck","0","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2683290.5 1250280.6)"
"2529","3018","","5","8","12","1","1","1","4","VBZ Milchbuck","0","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2683274.2 1250241.1)"
"2530","3019","","5","8","12","1","1","1","4","VBZ Milchbuck","0","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2683262.5 1250215.4)"
"2531","3020","","4","17","9","1","1","1","2","Steinkluppenweg","0","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2683280.5 1250511.4)"
"2532","3021","","4","17","8","1","1","1","2","Steinkluppenweg","0","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2683137.2 1250596.8)"
"2533","3022","","4","17","9","1","1","1","2","Steinkluppenweg 37","0","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2683158 1250671.9)"
"2534","5683","","5","8","1","1","1","1","4","Klingenpark","2","0","Abfallhai","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L150","POINT (2682827.8 1248523)"
"2535","5684","","4","17","9","1","1","1","2","Bachwiesenstrasse","2","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_West","ganzjaehrig","L70","POINT (2679090.8 1248342.1)"
"2536","5701","","5","8","9","12","1","1","4","Bucheggplatz GZ","0","0","Abfallhai","Ascher","Dispenser_Dog","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2682678 1250410.6)"
"2537","5702","","5","8","9","12","1","1","4","Bucheggplatz GZ","0","0","Abfallhai","Ascher","Dispenser_Dog","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2682742.2 1250307)"
"2538","5703","","5","8","9","12","1","1","4","Bucheggplatz GZ","0","0","Abfallhai","Ascher","Dispenser_Dog","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2682826.5 1250511.4)"
"2539","3069","","5","12","8","1","1","1","4","VBZ Rosengartenstrasse","0","0","Abfallhai","Sackrollenhalter","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2682035.5 1249869)"
"2540","3070","","5","12","8","1","1","1","4","VBZ Bahnhof Wipkingen","0","0","Abfallhai","Sackrollenhalter","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2682369.2 1249739.4)"
"2541","3071","","5","12","8","1","1","1","4","Röschibachplatz","0","0","Abfallhai","Sackrollenhalter","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2682325.5 1249736.6)"
"2542","3072","","5","12","8","1","1","1","4","Röschibachplatz","0","0","Abfallhai","Sackrollenhalter","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2682308.8 1249726.5)"
"2543","3073","","4","17","8","1","1","1","2","VBZ Rosengartenstrasse","0","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2682066.2 1249837)"
"2544","3074","","4","17","8","1","1","1","2","VBZ Rosengartenstrasse","0","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2682055 1249819.8)"
"2545","3075","","4","17","1","1","1","1","2","Regensdorferstrasse 17","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2679945.5 1250805.8)"
"2546","3076","","5","12","1","1","1","1","4","Regensdorferstrasse 16","0","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2679981 1250793)"
"2547","3077","","4","17","8","1","1","1","2","VBZ Kappenbühlweg","0","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2679987.2 1250764.4)"
"2548","3078","","5","8","12","1","1","1","4","Post Höngg","0","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2680074.8 1250693.1)"
"2549","3079","","5","8","12","1","1","1","4","VBZ Meierhofplatz","0","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2680084 1250727.5)"
"2550","3080","","4","17","8","1","1","1","2","VBZ Meierhofplatz","0","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2680071.8 1250737)"
"2551","3082","","4","17","9","3","1","1","2","Müseliweg","0","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2680626.5 1250738.2)"
"2552","3083","","5","12","1","1","1","1","4","Parkplatz Emil-Klöti-Strasse","0","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2680702.5 1250726.8)"
"2553","3084","","5","9","12","1","1","1","4","Parkplatz Emil-Klöti-Strasse","0","0","Abfallhai","Dispenser_Dog","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2680713.2 1250712.9)"
"2554","3085","","4","17","1","1","1","1","2","Am Hönggerberg","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2680816.8 1250680.8)"
"2555","3086","","4","17","9","3","1","1","2","Am Hönggerberg / Wehrlisteig","0","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681021.2 1250517.1)"
"2556","3087","","4","1","1","1","1","1","1","Panoramaweg","0","0","Zuerikuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L35","POINT (2681049.5 1250406.5)"
"2557","3088","","4","17","9","3","1","1","2","Panoramaweg","0","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681180.8 1250415.2)"
"2558","3089","","4","17","1","1","1","1","2","Panoramaweg","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681197.5 1250422.8)"
"2559","3090","","4","17","1","1","1","1","2","Panoramaweg","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681215.8 1250430.4)"
"2560","3091","","4","17","8","1","1","1","2","Panoramaweg","0","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681237.5 1250439.1)"
"2561","3092","","4","1","1","1","1","1","1","Panoramaweg","0","0","Zuerikuebel","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L35","POINT (2681285.2 1250432)"
"2562","3093","","4","17","1","1","1","1","2","Parkplatz Restaurant Waid","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681395.2 1250524.1)"
"2563","3094","","4","17","1","1","1","1","2","Parkplatz Restaurant Waid","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681410.5 1250549.4)"
"2564","3096","","4","17","1","1","1","1","2","Parkplatz Restaurant Waid","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681437.8 1250560.9)"
"2565","3097","","4","17","1","1","1","1","2","Parkplatz Restaurant Waid","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681420.2 1250569)"
"2566","3098","","4","17","1","1","1","1","2","Parkplatz Restaurant Waid","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681469 1250602.1)"
"2567","3099","","4","17","1","1","1","1","2","Waidbadstrasse","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681393 1250832)"
"2568","3100","","5","12","1","1","1","1","4","Anlage Waidbad","0","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2681239.5 1250800.9)"
"2569","3101","","5","12","1","1","1","1","4","Anlage Waidbad","0","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2681269.2 1250831.1)"
"2570","3102","","5","12","1","1","1","1","4","Anlage Waidbad","0","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2681301.2 1250826.4)"
"2571","3103","","5","12","1","1","1","1","4","Anlage Waidbad","0","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2681262 1250784.6)"
"2572","3104","","4","17","9","3","1","1","2","Waidbadstrasse","0","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681407.8 1250813)"
"2573","3105","","4","17","1","1","1","1","2","Obere Waidstrasse","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681468.5 1250502.5)"
"2574","3106","","4","17","1","1","1","1","2","Obere Waidstrasse","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681339.5 1250444.2)"
"2575","3107","","4","17","8","1","1","1","2","VBZ Pflegezentrum Käferberg","0","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681469.8 1250421.1)"
"2576","3108","","4","17","8","1","1","1","2","VBZ Pflegezentrum Käferberg","0","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681455.2 1250443.9)"
"2577","3109","","4","17","8","1","1","1","2","VBZ Waidbadstrasse","0","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681143.8 1250362.1)"
"2578","3110","","4","17","8","1","1","1","2","VBZ Waidbadstrasse","0","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681151 1250340)"
"2579","3111","","4","17","9","3","1","1","2","Emil-Klöti-Strasse / Wehrlisteig","0","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2680921.2 1250437.1)"
"2580","3112","","4","17","8","1","1","1","2","Emil-Klöti-Strasse / Wehrlisteig","0","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2680911.2 1250426.5)"
"2581","3113","","4","17","8","1","1","1","2","VBZ Im Wingert","0","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2680788.8 1250620.5)"
"2582","3114","","4","17","8","1","1","1","2","VBZ Im Wingert","0","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2680794 1250588.5)"
"2583","3115","","4","17","9","3","1","1","2","Kürbergstrasse / Wehrlisteig","0","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681012 1250321.8)"
"2584","3116","","4","17","8","1","1","1","2","VBZ Appenzellerstrasse","0","0","Zuerikuebel","andere","Ascher","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2680881.2 1250329.9)"
"2585","3117","","4","17","1","1","1","1","2","Anlage Kettberg","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2680853.8 1250324.8)"
"2586","3119","","5","8","12","1","1","1","4","VBZ Schwert","0","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2680490.5 1250415.4)"
"2587","3120","","5","8","12","1","1","1","4","VBZ Schwert","0","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2680481.2 1250431.9)"
"2588","3121","","5","12","1","1","1","1","4","VBZ Meierhofplatz","0","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2680193 1250628.4)"
"2589","3122","","5","12","1","1","1","1","4","VBZ Meierhofplatz","0","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2680175.2 1250625.4)"
"2590","3123","","5","12","1","1","1","1","4","VBZ Meierhofplatz","0","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2680155.5 1250637.2)"
"2591","3124","","5","8","12","1","1","1","4","VBZ Meierhofplatz","0","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2680110.5 1250653.2)"
"2592","3125","","5","12","1","1","1","1","4","VBZ Meierhofplatz","0","0","Abfallhai","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2680089.2 1250662.1)"
"2593","3126","","5","8","12","1","1","1","4","VBZ Meierhofplatz","0","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2680093.8 1250648.1)"
"2594","3127","","4","17","1","1","1","1","2","Gässli","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2680105.8 1250676.8)"
"2595","3128","","5","8","12","1","1","1","4","Anlage Scherrergasse","0","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2679945.2 1250754.2)"
"2596","3129","","4","17","1","1","1","1","2","Anlage Scherrergasse","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2679932.2 1250734.9)"
"2597","3130","","4","17","1","1","1","1","2","Anlage Scherrergasse","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2679922.2 1250761.8)"
"2598","3131","","5","1","1","1","1","1","4","VBZ Zwielplatz","0","0","Abfallhai","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2679852.2 1250694.6)"
"2599","3132","","5","1","1","1","1","1","4","VBZ Zwielplatz","0","0","Abfallhai","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2679870.2 1250683.4)"
"2600","3133","","4","17","1","1","1","1","2","Am Wettingertobel","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2679832.5 1250636.2)"
"2601","3134","","4","17","9","3","1","1","2","Am Wettingertobel","0","0","Zuerikuebel","andere","Dispenser_Dog","Block","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2679759.5 1250573.9)"
"2602","3135","","4","17","1","1","1","1","2","Am Wettingertobel","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2679720 1250525.1)"
"2603","3136","","4","17","1","1","1","1","2","Chorherrenweg","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2679990.8 1250604.4)"
"2604","3137","","4","17","9","1","1","1","2","Chillesteig","0","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2679969.5 1250580.4)"
"2605","3138","","4","17","1","1","1","1","2","Chillesteig","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2679931.2 1250529.5)"
"2606","3139","","4","17","1","1","1","1","2","Bauherrenstrasse / Bäulistrasse","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2680249.2 1250371.6)"
"2607","3140","","4","17","9","1","1","1","2","Ackersteinstrasse 200","0","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2680091.8 1250575.1)"
"2608","3141","","4","17","9","1","1","1","2","Ackersteinstrasse 35","0","0","Zuerikuebel","andere","Dispenser_Dog","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2681007.8 1249991.6)"
"2609","5704","","5","8","9","12","1","1","4","Bucheggplatz GZ","0","0","Abfallhai","Ascher","Dispenser_Dog","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2682891.8 1250555.2)"
"2610","5705","","5","8","9","12","1","1","4","Bucheggplatz GZ","0","0","Abfallhai","Ascher","Dispenser_Dog","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2682708.2 1250397)"
"2611","5706","","5","8","12","1","1","1","4","Bucheggplatz GZ","0","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2682733.5 1250393.6)"
"2612","5707","","5","8","12","1","1","1","4","Bucheggplatz GZ","0","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2682734.5 1250353.2)"
"2613","5708","","5","8","12","1","1","1","4","Bucheggplatz GZ","0","0","Abfallhai","Ascher","Sackrollenhalter","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L150","POINT (2682762.2 1250343)"
"2614","3034","","4","17","1","1","1","1","2","Bucheggplatz","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2682516 1250362.5)"
"2615","3035","","4","17","1","1","1","1","2","Im Rehsprung","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2682391.8 1250318.9)"
"2616","3037","","4","17","1","1","1","1","2","Weihersteig","0","0","Zuerikuebel","andere","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","L70","POINT (2682360.2 1250292.4)"
"2617","3038","","3","3","1","1","1","1","0","Obere Waidstrasse 20","0","0","Dispenser","Block","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","keine_Auspraegung","Region_Nord","ganzjaehrig","unbekannt","POINT (2682324.2 1250312.1)"
