city,distance,value
Tbilisi,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Tbilisi,transportation_distance_km,NA
Tbilisi,transportation_distance_km_year,NA
Tbilisi,transportation_distance_total_km_day,NA
Accra,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,12
Accra,transportation_distance_km,NA
Accra,transportation_distance_km_year,NA
Accra,transportation_distance_total_km_day,NA
Kumasi,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Kumasi,transportation_distance_km,NA
Kumasi,transportation_distance_km_year,NA
Kumasi,transportation_distance_total_km_day,NA
Conakry,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Conakry,transportation_distance_km,NA
Conakry,transportation_distance_km_year,NA
Conakry,transportation_distance_total_km_day,NA
Banjul,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,15
Banjul,transportation_distance_km,NA
Banjul,transportation_distance_km_year,NA
Banjul,transportation_distance_total_km_day,NA
Labe,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Labe,transportation_distance_km,NA
Labe,transportation_distance_km_year,NA
Labe,transportation_distance_total_km_day,NA
Athens,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Athens,transportation_distance_km,NA
Athens,transportation_distance_km_year,NA
Athens,transportation_distance_total_km_day,NA
Thessaloniki,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,51
Thessaloniki,transportation_distance_km,NA
Thessaloniki,transportation_distance_km_year,NA
Thessaloniki,transportation_distance_total_km_day,NA
Guatemala City,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Guatemala City,transportation_distance_km,NA
Guatemala City,transportation_distance_km_year,NA
Guatemala City,transportation_distance_total_km_day,NA
Antigua Guatemala,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,7
Antigua Guatemala,transportation_distance_km,NA
Antigua Guatemala,transportation_distance_km_year,NA
Antigua Guatemala,transportation_distance_total_km_day,NA
Jutiapa,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Jutiapa,transportation_distance_km,NA
Jutiapa,transportation_distance_km_year,NA
Jutiapa,transportation_distance_total_km_day,NA
Tegucigalpa,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,4
Tegucigalpa,transportation_distance_km,NA
Tegucigalpa,transportation_distance_km_year,NA
Tegucigalpa,transportation_distance_total_km_day,NA
San Pedro Sula,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
San Pedro Sula,transportation_distance_km,NA
San Pedro Sula,transportation_distance_km_year,NA
San Pedro Sula,transportation_distance_total_km_day,NA
Zagreb,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Zagreb,transportation_distance_km,NA
Zagreb,transportation_distance_km_year,NA
Zagreb,transportation_distance_total_km_day,NA
Cakovec,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Cakovec,transportation_distance_km,NA
Cakovec,transportation_distance_km_year,NA
Cakovec,transportation_distance_total_km_day,NA
Port Au Prince,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,5
Port Au Prince,transportation_distance_km,NA
Port Au Prince,transportation_distance_km_year,NA
Port Au Prince,transportation_distance_total_km_day,NA
Debrecen,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Debrecen,transportation_distance_km,NA
Debrecen,transportation_distance_km_year,NA
Debrecen,transportation_distance_total_km_day,NA
Budapest,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Budapest,transportation_distance_km,NA
Budapest,transportation_distance_km_year,NA
Budapest,transportation_distance_total_km_day,NA
Jakarta,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,40
Jakarta,transportation_distance_km,NA
Jakarta,transportation_distance_km_year,NA
Jakarta,transportation_distance_total_km_day,NA
Douglas,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,NA
Douglas,transportation_distance_km,NA
Douglas,transportation_distance_km_year,NA
Douglas,transportation_distance_total_km_day,NA
Kota,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,6
Kota,transportation_distance_km,NA
Kota,transportation_distance_km_year,NA
Kota,transportation_distance_total_km_day,NA
Kozhikode,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,10
Kozhikode,transportation_distance_km,NA
Kozhikode,transportation_distance_km_year,NA
Kozhikode,transportation_distance_total_km_day,NA
Jaipur,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,25
Jaipur,transportation_distance_km,NA
Jaipur,transportation_distance_km_year,NA
Jaipur,transportation_distance_total_km_day,NA
Tirunelveli,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,14
Tirunelveli,transportation_distance_km,NA
Tirunelveli,transportation_distance_km_year,NA
Tirunelveli,transportation_distance_total_km_day,NA
Amritsar,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,4.7
Amritsar,transportation_distance_km,NA
Amritsar,transportation_distance_km_year,NA
Amritsar,transportation_distance_total_km_day,NA
Allahabad,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,19
